model,dataset,exp,acc,f1,recall,precision,early_stopped_at,time
fcn,ArrowHead,0,0.5885714285714285,0.5746538896200736,0.5885714285714285,0.7431281412086367,238,2341.4104239940643
fcn,ACSF1,0,0.8,0.7933375786505414,0.8,0.8380477855477855,182,4086.9886355400085
fcn,Adiac,0,0.6726342710997443,0.6555602506993731,0.6726342710997443,0.6630222145539615,335,22548.882764577866
fcn,Beef,0,0.7333333333333333,0.724040404040404,0.7333333333333333,0.7777777777777778,1001,6434.257098436356
fcn,BeetleFly,0,0.85,0.849624060150376,0.85,0.8535353535353536,1092,5700.698525905609
fcn,BirdChicken,0,0.95,0.949874686716792,0.95,0.9545454545454545,1014,5177.968771934509
fcn,BME,0,0.7,0.6944017094017094,0.7,0.6903811057434246,978,5756.074315786362
fcn,Car,0,0.9,0.8918181818181818,0.9,0.9239999999999999,287,2978.146592617035
fcn,CBF,0,0.9922222222222222,0.9922111573766718,0.9922222222222222,0.9922331482695487,1020,6057.315227508545
fcn,Chinatown,0,0.9766763848396501,0.9768249115724948,0.9766763848396501,0.9772951746296186,1074,4824.4563574790955
fcn,ChlorineConcentration,0,0.7677083333333333,0.7734305132298137,0.7677083333333333,0.791427561081669,404,24043.841228485107
fcn,CinCECGTorso,0,0.7731884057971015,0.776596933945433,0.7731884057971015,0.8105828997830363,346,3862.537574529648
fcn,Coffee,0,1.0,1.0,1.0,1.0,1215,8073.654722452164
fcn,Computers,0,0.848,0.8478441924530719,0.848,0.849431270483902,348,12435.006001710892
fcn,CricketX,0,0.6820512820512821,0.6700201320043417,0.6820512820512821,0.6834247145177867,202,11879.649918317795
fcn,CricketY,0,0.764102564102564,0.7620999072377284,0.764102564102564,0.7751041454536344,285,16760.34250307083
fcn,CricketZ,0,0.7769230769230769,0.7771218345472206,0.7769230769230769,0.7835526493820808,201,10083.37036705017
fcn,Crop,0,0.7317261904761905,0.7283314609440943,0.7317261904761905,0.7293228738780518,170,150012.41237735748
fcn,DiatomSizeReduction,0,0.9379084967320261,0.9380599970201612,0.9379084967320261,0.9446167428481923,1244,5236.4874794483185
fcn,DistalPhalanxOutlineCorrect,0,0.7753623188405797,0.7732150378142797,0.7753623188405797,0.7741081617000581,510,25086.45942878723
fcn,DistalPhalanxOutlineAgeGroup,0,0.7410071942446043,0.7397880738471424,0.7410071942446043,0.7400889217590729,253,8637.008914709091
fcn,DistalPhalanxTW,0,0.6762589928057554,0.6652024275577036,0.6762589928057554,0.6609529767490356,328,10733.04927110672
fcn,Earthquakes,0,0.7410071942446043,0.6368987454664369,0.7410071942446043,0.5584402043582525,205,5221.371854066849
fcn,ECG200,0,0.87,0.87104,0.87,0.8736948297604036,125,1243.4896960258484
