model,dataset,exp,acc,f1,recall,precision,early_stopped_at,time
mlp,ArrowHead,0,0.6628571428571428,0.656254531564692,0.6628571428571428,0.6776718487394958,100,24.32147216796875
mlp,ACSF1,0,0.27,0.16498682476943347,0.27,0.2925551057130005,100,36.67547297477722
mlp,Adiac,0,0.1585677749360614,0.08965727159029672,0.1585677749360614,0.07584050387758827,100,42.99621510505676
mlp,Beef,0,0.6666666666666666,0.6488344988344988,0.6666666666666666,0.7209523809523809,100,39.75562024116516
mlp,BeetleFly,0,0.8,0.8,0.8,0.8,100,39.05173683166504
mlp,BirdChicken,0,0.45,0.44862155388471175,0.45,0.4494949494949495,100,38.83565092086792
mlp,BME,0,0.9066666666666666,0.9085534348692241,0.9066666666666666,0.9270833333333334,100,38.71695256233215
mlp,Car,0,0.75,0.7536784269902086,0.75,0.7817768780926676,100,39.31609392166138
mlp,CBF,0,0.8711111111111111,0.8690199454546413,0.8711111111111111,0.8970940170940171,100,40.654168367385864
mlp,Chinatown,0,0.9358600583090378,0.9377375439971908,0.9358600583090378,0.9480245300090478,100,55.41538381576538
mlp,ChlorineConcentration,0,0.5325520833333334,0.37011691093174737,0.5325520833333334,0.2836117214626736,100,82.08429670333862
mlp,CinCECGTorso,0,0.7485507246376811,0.7416379592883083,0.7485507246376811,0.7953195895676168,100,70.97545075416565
mlp,Coffee,0,1.0,1.0,1.0,1.0,100,67.01854133605957
mlp,Computers,0,0.524,0.5015999061835118,0.524,0.5292602996254682,100,71.10946321487427
mlp,CricketX,0,0.4794871794871795,0.48065956642645974,0.4794871794871795,0.507893289398334,100,77.72435808181763
mlp,CricketY,0,0.5,0.48365250742082144,0.5,0.5471589349534021,100,77.84086966514587
mlp,CricketZ,0,0.48205128205128206,0.4896141107159441,0.48205128205128206,0.5311969389461478,100,72.44413208961487
mlp,Crop,0,0.6439880952380952,0.6142507887526331,0.6439880952380952,0.6193604733771957,100,228.25395798683167
mlp,DiatomSizeReduction,0,0.8856209150326797,0.8369673747314555,0.8856209150326797,0.7960048999539225,100,46.92042589187622
mlp,DistalPhalanxOutlineCorrect,0,0.75,0.7450932526120496,0.75,0.7493862520458265,100,53.552549600601196
mlp,DistalPhalanxOutlineAgeGroup,0,0.7338129496402878,0.732468858357483,0.7338129496402878,0.7886737978038622,100,59.78178095817566
mlp,DistalPhalanxTW,0,0.302158273381295,0.14022814897253466,0.302158273381295,0.0912996221727654,100,49.57106375694275
mlp,Earthquakes,0,0.7553956834532374,0.6790853031860226,0.7553956834532374,0.7206056050681843,100,41.62719988822937
mlp,ECG200,0,0.86,0.8619419924337958,0.86,0.8701477832512314,100,36.988436222076416
mlp,ECG5000,0,0.9273333333333333,0.8978483930279961,0.9273333333333333,0.8708461963054097,100,42.49513339996338
mlp,ECGFiveDays,0,0.9535423925667829,0.9534680555730307,0.9535423925667829,0.9560443519530852,100,36.36124396324158
mlp,ElectricDevices,0,0.5106990014265336,0.47156688259620555,0.5106990014265336,0.46118875644096996,100,106.40856528282166
mlp,EOGHorizontalSignal,0,0.2845303867403315,0.179088468825075,0.2845303867403315,0.1780319892813649,100,35.33622479438782
mlp,EOGVerticalSignal,0,0.2845303867403315,0.19483385041862752,0.2845303867403315,0.1625856336563795,100,36.0199716091156
mlp,EthanolLevel,0,0.248,0.09856410256410256,0.248,0.061503999999999996,100,37.70144486427307
mlp,FaceAll,0,0.7698224852071006,0.7688664324443619,0.7698224852071006,0.8345023040389038,100,31.473052501678467
mlp,FaceFour,0,0.8409090909090909,0.8419783221206371,0.8409090909090909,0.8466577540106951,100,33.01999378204346
mlp,FacesUCR,0,0.7482926829268293,0.7368449256524509,0.7482926829268293,0.7341272329101324,100,35.41614389419556
mlp,FiftyWords,0,0.3956043956043956,0.2712378503436546,0.3956043956043956,0.21524139127800956,100,40.14277458190918
mlp,Fish,0,0.7085714285714285,0.6847802229617442,0.7085714285714285,0.8083873648084176,100,37.6614305973053
mlp,FordA,0,0.7378787878787879,0.7379413939083554,0.7378787878787879,0.7382207948740692,100,75.44598078727722
mlp,FordB,0,0.674074074074074,0.6722824922455598,0.674074074074074,0.6770217997333472,100,77.88343954086304
mlp,FreezerRegularTrain,0,0.9003508771929825,0.9000358161765613,0.9003508771929825,0.90546252540492,100,62.1567656993866
mlp,FreezerSmallTrain,0,0.6996491228070175,0.697089195535654,0.6996491228070175,0.7066342640423123,100,65.21607327461243
mlp,GunPoint,0,0.9266666666666666,0.9266699260707882,0.9266666666666666,0.9267555555555554,100,64.54523158073425
mlp,GunPointAgeSpan,0,0.8892405063291139,0.8888427681684691,0.8892405063291139,0.893659669989818,100,65.81515884399414
mlp,GunPointMaleVersusFemale,0,0.9430379746835443,0.9430539476906835,0.9430379746835443,0.9467773516842429,100,64.39691352844238
mlp,GunPointOldVersusYoung,0,0.9238095238095239,0.9238433507080585,0.9238095238095239,0.9241752036783091,100,63.72461271286011
mlp,Ham,0,0.7333333333333333,0.732017543859649,0.7333333333333333,0.7355555555555555,100,64.485280752182
mlp,HandOutlines,0,0.8324324324324325,0.8336623917770845,0.8324324324324325,0.8361408326166034,100,87.06280899047852
mlp,Haptics,0,0.4805194805194805,0.4279354768401778,0.4805194805194805,0.3906850009622359,100,57.034170389175415
mlp,Herring,0,0.59375,0.5091145833333333,0.59375,0.5614224137931034,100,53.117966651916504
mlp,HouseTwenty,0,0.7478991596638656,0.7482196268337844,0.7478991596638656,0.7834898665348492,100,53.3231155872345
mlp,InlineSkate,0,0.19818181818181818,0.16180234951537353,0.19818181818181818,0.23368735736408894,100,54.000404357910156
mlp,InsectEPGRegularTrain,0,0.6305220883534136,0.5988579018166836,0.6305220883534136,0.580226834594778,100,31.500938653945923
mlp,InsectEPGSmallTrain,0,0.6224899598393574,0.5621655976409738,0.6224899598393574,0.5179323566041167,100,34.749985218048096
mlp,InsectWingbeatSound,0,0.6121212121212121,0.5889291949065286,0.6121212121212121,0.5901595123544204,100,37.697935819625854
mlp,ItalyPowerDemand,0,0.9514091350826045,0.9513222356273597,0.9514091350826045,0.9544272863880552,100,35.93346619606018
mlp,LargeKitchenAppliances,0,0.42133333333333334,0.41722360009340065,0.42133333333333334,0.4166743595015603,100,40.385321617126465
mlp,Lightning2,0,0.639344262295082,0.6399272187676653,0.639344262295082,0.6418826017979905,100,36.3707640171051
mlp,Lightning7,0,0.4931506849315068,0.46168717374865054,0.4931506849315068,0.5263594852635948,100,36.209691524505615
mlp,Mallat,0,0.6081023454157782,0.48627947462531296,0.6081023454157782,0.4213171863351494,100,37.59130024909973
mlp,Meat,0,0.6,0.5886189833558255,0.6,0.6608796296296297,100,38.94685173034668
mlp,MedicalImages,0,0.5144736842105263,0.3495381590379075,0.5144736842105263,0.2646831717451523,100,67.92101764678955
